model, xG_accuracy, xG_logloss, game_accuracy, game_logloss
0421_800k, 0.8509085774421692, 0.0339, 0.5637105107307434, 0.6798285841941833
0426_100k_last_20_games, 0.9091508, 0.05746050, 0.5993883609771729, 0.679898202419281
0426_100k_full_game_even_weights, 0.9091508, 0.05746050, 0.592252790927887, 0.6805262565612793
0426_100k_full_game_linear_decay, 0.9091508, 0.05746050, 0.5912334322929382, 0.6806331872940063
0426_Unknown_last20,  0.909150802732411, 0.05746050, 0.5912334322929382, 0.6806331872940063
